X坐標,Y坐標,原地址,結果地址,說明
206699.790,2622013.770,雲林縣斗六市榮譽路974巷75號,雲林縣斗六市重光里19鄰榮譽路974巷75號,[雲林縣]	 { 完全比對 } 找到符合的門牌地址
188368.100,2629246.840,雲林縣二崙鄉來惠村惠來路65-3號,雲林縣二崙鄉來惠村21鄰惠來路65號之3,[雲林縣]	 { 模糊比對 } (二崙鄉)	找到符合的[鄉鎮市區]，(來惠村)	找到符合的[村里]，(惠來路)	找到符合的[路街名]，(65-3號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
167394.480,2543168.250,台南市永華路100號,臺南市中西區郡西里2鄰永華路一段100號,[臺南市]	 { 模糊比對 } (永華路)	找到符合的[路街名]，(100號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
175499.190,2568112.920,台南市下營區開化村二鄰中營118號,臺南市下營區開化里2鄰中營118號,[臺南市]	 { 模糊比對 } (下營區)	找到符合的[鄉鎮市區]，(開化村)	找不到符合的[村里]，進行轉換搜尋[村變成里，里變成村]，轉換搜尋找到符合的[村里]，(中營)	找到符合的[地區]，(118號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
179640.438,2503497.900,高雄市苓雅區中正二路131之1號,高雄市苓雅區尚義里19鄰中正二路131之1號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
167143.550,2543218.020,臺南市永華路1段186號,臺南市中西區民生里3鄰永華路一段186號,[臺南市]	 { 完全比對 } 找到符合的門牌地址
177072.702,2622776.314,雲林縣褒忠鄉新湖村復興路17號,雲林縣褒忠鄉新湖村11鄰復興路17號,[雲林縣]	 { 完全比對 } 找到符合的門牌地址
212445.630,2694206.417,台中市大甲區頂店里中山路一萬1010-9號,臺中市大甲區頂店里7鄰中山路一段1010之9號,[臺中市]	 { 模糊比對 } (大甲區)	找到符合的[鄉鎮市區]，(頂店里)	找到符合的[村里]，(中山路)	找到符合的[路街名]，(一萬)	找不到符合的[地區]，進行轉換搜尋[路或街變成地區名]，轉換搜尋找不到符合的[地區]，(1010-9號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
182187.425,2503346.875,高雄市苓雅區建國一路15-7號,高雄市苓雅區正義里2鄰建國一路15之7號,[高雄市]	 { 模糊比對 } (苓雅區)	找到符合的[鄉鎮市區]，(建國一路)	找到符合的[路街名]，(15-7號)	找到符合的[門牌號碼]，模糊比對找到 1 筆符合的門牌地址。
280516.870,2765685.185,桃園市永安路267號,桃園市桃園區中興里6鄰永安路267號,[桃園市]	 { 完全比對 } 找到符合的門牌地址
196057.720,2650621.990,彰化縣溪湖鎮二溪路1段432號,彰化縣溪湖鎮大突里12鄰二溪路一段432號,[彰化縣]	 { 完全比對 } 找到符合的門牌地址
181523.199,2496168.680,高雄市小港區平和路43號,高雄市小港區港口里22鄰平和路43號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
193917.307,2597612.277,嘉義市中山路234號,嘉義市東區中央里18鄰中山路234號,[嘉義市]	 { 完全比對 } 找到符合的門牌地址
194948.101,2597910.710,嘉義市新生路214號1-2樓,嘉義市東區中山里13鄰新生路214號,[嘉義市]	 { 完全比對 } 找到符合的門牌地址
