X坐標,Y坐標,原地址,結果地址,說明
304233.995,2769644.232,台北市大安區建國南路1段358號,臺北市大安區民炤里16鄰建國南路一段358號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
192327.393,2623126.702,雲林縣虎尾鎮光復路454號,雲林縣虎尾鎮公安里12鄰光復路454號,[雲林縣]	 { 完全比對 } 找到符合的門牌地址
310793.347,2651884.994,花蓮市中正路136號,花蓮縣花蓮市主農里21鄰中正路136號,[花蓮縣]	 { 完全比對 } 找到符合的門牌地址
302423.024,2768654.709,台北市汀州路二段125號1樓,臺北市中正區板溪里6鄰汀州路二段125號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
180803.421,2503609.766,高雄市苓雅區武廟路160之2號,高雄市苓雅區正文里12鄰武廟路160之2號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
,,金門縣金城鎮歐厝村63號,,查無符合門牌地址
218474.584,2674021.704,臺中市北屯區文心路四段806號,臺中市北屯區平安里12鄰文心路四段806號,[臺中市]	 { 完全比對 } 找到符合的門牌地址
278250.799,2764654.502,桃園市桃園區龍安街109號,桃園市桃園區龍鳳里9鄰龍安街107號,[桃園市]	 { 模糊比對 } (桃園區)	找到符合的[鄉鎮市區]，(龍安街)	找到符合的[路街名]，(109號)	進行[單號過濾]，進行[找大於且最接近的門牌號碼]，找到大於輸入的門牌號碼 +4 號，進行[找小於且最接近的門牌號碼]，找到小於輸入的門牌號碼 -2 號，模糊比對找到 2 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
194308.425,2595964.016,嘉義市東區吳鳳南路311號,嘉義市東區安寮里8鄰吳鳳南路307號,[嘉義市]	 { 模糊比對 } (東區)	找到符合的[鄉鎮市區]，(吳鳳南路)	找到符合的[路街名]，(311號)	進行[單號過濾]，進行[找大於且最接近的門牌號碼]，找到大於輸入的門牌號碼 +2 號，進行[找小於且最接近的門牌號碼]，找到小於輸入的門牌號碼 -4 號，模糊比對找到 2 筆符合的門牌地址。( 限制回傳 1 筆門牌地址 )
272121.210,2760928.310,桃園市中壢區中豐路359號,桃園市中壢區中壢里7鄰中豐路359號,[桃園市]	 { 完全比對 } 找到符合的門牌地址
214609.866,2673356.947,臺中市西屯區何安里文心路三段46號,臺中市西屯區何安里18鄰文心路三段46號,[臺中市]	 { 完全比對 } 找到符合的門牌地址
280300.586,2768642.594,桃園市桃園區莊敬路一段156號,桃園市桃園區莊敬里1鄰莊敬路一段156號,[桃園市]	 { 完全比對 } 找到符合的門牌地址
301416.805,2764792.407,新北市中和區捷運路20號1樓,新北市中和區景福里43鄰捷運路20號,[新北市]	 { 完全比對 } 找到符合的門牌地址
218171.200,2652222.010,南投縣草屯鎮中興路271號,南投縣草屯鎮新厝里2鄰中興路271號,[南投縣]	 { 完全比對 } 找到符合的門牌地址
302954.251,2778988.305,臺北市士林區天母西路48號1樓,臺北市士林區天壽里15鄰天母西路48號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
307229.476,2771561.443,臺北市南京東路5段286號,臺北市松山區新聚里10鄰南京東路五段286號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
304404.495,2768684.859,臺北市大安區和平東路2段68號1樓,臺北市大安區龍門里5鄰和平東路二段68號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
310563.308,2775311.149,台北市內湖區成功路4段368號1樓2樓,臺北市內湖區秀湖里1鄰成功路四段368號,[臺北市]	 { 完全比對 } 找到符合的門牌地址
178671.314,2501941.822,高雄市苓雅區興中一路383號,高雄市苓雅區廣澤里15鄰興中一路383號,[高雄市]	 { 完全比對 } 找到符合的門牌地址
